price,products
699,"Huawei Nova 3 Smartphone LTE, Klein Blue"
4399,"Samsung Galaxy S20 Ultra Smartphone 5G, Cosmic Black, 128 GB"
3049,"Apple iPhone 11 4G LTE Smartphone, Green, 128 GB"
524,"Oppo A5s Smartphone, Black"
4899,"Apple MacBook Pro 2019 13 i5 8GB RAM, 128GB SSD, English Keyboard, Space Gray"
2799,"Lenovo IdeaPad S540 R7 12GB, 512GB 14 Laptop, Grey"
2299,"HP Pavilion x360 14-DH1025NE i3 4GB, 256GB 14 Laptop"
2299,"Acer Aspire 5 A514-53 i5 8GB, 512GB 14 Laptop, Silver"
"1,795",DJI Mavic Mini Fly More Combo
866,"Ring Floodlight Camera Motion-Activated HD Security Cam Two-Way Talk and Siren Alarm, White"
818,Apple TV 4K 64GB
549,Asus RT-AC85P Wireless-AC2400 Dual Band Mobile Gaming Gigabit Router
3149,"Vestfrost Beverage Cooler, 38 Bottles, W32"
3750,"Smeg Single Door Refrigerator, 33 L, Red"
2799,"Dyson PH01 Pure Humidify+ Cool Humidified Air Purifier, White / Silver"
499,"Instant Pot Electric Pressure Cooker 6L, Black / Chrome"
2399,Samsung 55 Class TU8000 Crystal UHD 4K Smart TV (2020)
4199,LG 55 B9 OLED 4K TV
2999,"Sony 55"" X85G Series LED 4K HDR Smart TV"
1599,"Hisense 55"" 55B8000UW 4K Smart ULED TV"
665,"Crosley CR6026A-TL Coupe Bluetooth Turntable, Teal"
5459,"Yamaha Arius YDP-164 Digital Piano with Bench, Rosewood"
839,Yamaha PSR-E-363 61-Key Touch Sensitive Portable Keyboard
410,Yamaha C40M Nylon String Classical Guitar
2628,Canon EOS M50 Mirrorless Camera with EF-M15-45mm Lens
3799,"Sony Alpha a6400 Mirrorless Digital Camera Body Only, Black"
1899,Nikon D3500 DSLR Camera with 18-55mm and 70-300mm Lenses
1784,Insta360 One X Action Camera
1679,Sony PlayStation 4 Pro 1TB Console with Days Gone Bundle
799,Microsoft Xbox One S 1TB All-Digital Edition Console
199,"Sony PS4 DualShock 4 Wireless Controller, Rose Gold"
115,Death Stranding for PS4
599,"Huawei Watch GT 2e, Graphite Black"
2424,"Garmin Forerunner 945 Running Smartwatch, Black"
799,Apple Watch Series 3 GPS 38mm Space Gray Aluminum Case with Black Sport Band
449,Fitbit Charge 3 Advanced Health & Fitness Tracker
1159,Pioneer DDJ-400 2 Channel DJ Controller for Rekordbox DJ
1649,"Bose Home Speaker 500 with Alexa Built In, Luxe Silver"
1098,Sony WH-1000XM3 Wireless Noise-Cancelling Bluetooth Over-Ear Headphones with Mic for phone call
899,Apple AirPods Pro
499,Microsoft Office2019 Home&Stud ESD MEA
419,"Apple Magic Mouse 2 for Mac, Space Gray"
229,"WD 1TB My Passport USB 3.2 Gen 1 External Hard Drive 2019, Black"
209,"Anker 10W Qi-Certified Wireless Charging Pad, Black"
1498,LG 34inch 34WK650W UltraWide Full HD IPS LED Monitor
1149,BenQ Portable Projector with Wi-Fi and Bluetooth Speaker
1099,Brother BG-MFCT910DW Multi-Function All in one Printer
599,Canon PIXMA G3411 3 In 1 Wireless Ink Tank Printer
"1,749.00",Apple iPhone SE Smartphone LTE Smartphone …
919.00,"Samsung Galaxy A31 Smartphone LTE, Prism …"
"3,499.00,2,699.00,800.00","Huawei Mate 30 Pro Smartphone 5G,  Orange"
"1,899.00","Oppo Reno 3 Pro Smartphone LTE, Midnight …"
"1,678.95",Sony PlayStation 4 Pro 1TB Console with Days …
"1,899.00,1,399.00,500.00",Microsoft Xbox One X
78.99,Days Gone for PS4
279.00,"Sony PS4 Dualshock 4 V2 Controller, Gold"
"5,799.00","Lenovo Legion Y540 i7 16GB, 1TB+ 256GB 6GB …"
"4,699.00,4,099.00,600.00","Acer Nitro 5 AN515-54 i7 16GB, 1TB 4GB …"
"3,399.00","HP Pavilion 15-CX0049NE i5 8GB, 1TB+ 256GB …"
"5,199.00","Dell G3 i7 16GB, 512GB 6GB GTX1660 Graphic …"
"2,399.00","HP Pavilion x360 14-DH1025NE i3 4GB, 256GB …"
"5,539.00,4,899.00,640.00","Apple MacBook Pro 2019 13"" i5 8GB RAM, 128GB …"
"4,199.00","Dell Inspiron 14 i5 8GB, 512GB 2GB Graphic …"
"2,999.00","Lenovo IdeaPad S540 R7 12GB, 512GB 14"" …"
"1,349.00","Apple iPad 7th Gen Wi-Fi, 10.2"" Tablet, …"
"849.00,749.00,100.00","Samsung Galaxy Tab A 2019 10.1"" Tablet …"
599.00,"Lenovo Tab M10 TB-X505X 16GB 10.1"" Tablet …"
"949.00,799.00,150.00","Huawei MediaPad T5 32GB, 3GB 10"" Tablet, …"
"5,198.55,4,999.00,199.55",Sony KD-65X9500G 65 inch LED 4K HDR Smart …
"16,999.50","Samsung 65"" Class Q900 QLED Smart 8K UHD TV …"
"5,299.00","LG 55"" C9 OLED 4K TV"
"4,499.00,3,999.00,500.00","Hisense 65"" 65A9 4K Smart OLED Television"
"6,404.00,5,203.96,1,200.04",Hitachi RS700GPUK2GBK 700L Side By Side …
"4,724.00,4,698.75,25.25","Vestfrost Beverage Cooler, 147 Bottles, …"
"1,259.00","Siemens 7 Kg Washing Machine, WM10K200GC"
"13,700.00,12,500.00,1,200.00",Smeg A3-81 Gas Cooker
599.00,Instant Pot Instant Multi-Use O80 7-in-1 …
"2,799.00",Dyson PH01 Pure Humidify+ Cool Humidified …
"2,469.00,2,419.00,50.00",Smeg TSF01DGUK Dolce & Gabbana 2 Slice …
"4,100.00",Siemens TE651209GB Fully Automatic Coffee …
"3,098.55,2,799.00,299.55",Sony Alpha a6100 Mirrorless Digital Camera …
"1,698.90",GoPro Hero 8 Action Camera
"1,599.15,1,499.00,100.15",Nikon D3500 DSLR Camera with 18-55mm Lens
"2,899.00,2,499.00,400.00",Canon EOS 800D DSLR Camera with 18-55 IS STM
599.00,"Huawei Watch GT 2e,  Graphite Black"
"1,429.00,1,154.00,275.00",Samsung Galaxy Watch Active 2 40mm Stainless …
"2,129.00",Apple Watch Series 5 44mm Gold Aluminium …
"3,044.00",Garmin Fenix 6X Pro Edition Multisport GPS …
"1,299.00,1,098.99,200.01",Sony WH-1000XM3 Wireless Noise-Cancelling …
849.03,Sony SRS-XB41 EXTRA BASS Portable Bluetooth …
"1,649.00,1,449.00,200.00",Bose Headphones 700 Noise-Canceling …
"679.00,549.00,130.00",Apple AirPods 2019 with Charging Case
"1,259.00","BenQ 28"" EL2870U 4K HDR Monitor"
"899.00,799.00,100.00",HP Neverstop Laser 1000w All-in-One Printer
"4,199.00","Samsung 34"" LC34J791 Thunderbolt Curved …"
"1,259.00",Canon PIXMA G4411 All-In-One Printer
999.00,Netgear RBK13 AC1200 Orbi Dual Band Mesh …
"2,399.00",TP-Link AX11000 Next-Gen Tri-Band Gaming …
"1,299.00,1,098.99,200.01",Asus Lyra Mini MAP-AC1300 Dual Band …
"1,363.95",Dlink AC5300 Ultra Wi-Fi Router
"1,889.00",Dyson Airwrap styler Smooth+ Control
"1,599.00",Braun BD5001 Silk-expert IPL Epilator With …
"1,650.00",Tria Age Defying Eye Wrinkle Correction
834.75,Hershesons Professional Ionic Hair Dryer
