phone,name
"
+9714 3106755
","
Abu Dhabi Commercial Bank
"
"
+971 43414005
","
Al Ansari Exchange (GF)
"
"
+971 43549114
","
Al Ansari Exchange (L1)
"
"
+971 43233004
","
Al Fardan Exchange
"
"
+971 43342113
","
Al Ghurair Exchange
"
"
+971 43411155
","
Al Rostamani International Exchange
"
"
+971 45074908
","
Citibank
"
"
+971 46092222
","
Dubai Islamic Bank
"
"
+971 43733069
","
Emirates NBD (GF)
"
"
600 566223
","
First Abu Dhabi Bank
"
"
+971 43414111
","
Al Madani Tailoring
"
"
+971 43375588
","
Tailor & Tweak
"
"
+971 43551680
","
Adidas
"
"
+971 42826059
","
Adidas Originals
"
"
+971 43549735
","
Athlete’s Co.
"
"
+971 43415590
","
Brooks
"
"
+971 43478277
","
Columbia
"
"
+971 43958951
","
Courir
"
"
Opening Soon
","
Dropkick
"
"
+971 43207431
","
Fila
"
"
+971 43958951
","
Go Sport
"
"
+971 43474651
","
Lululemon
"
"
+971 549910035
","
050 Express
"
"
+971 567022886
","
050 Telecom
"
"
+971 526410129
","
055 Telecom
"
"
+971 524831722
","
3M Our Car
"
"
+971 43410995
","
Al Rostamani Travel
"
"
+971 43404150
","
AXA Insurance
"
"
+971 43167506
","
City Sightseeing
"
"
+971 43476597
","
DHL
"
"
+971 43411405
","
DigiPhoto (In Ski Dubai)
"
"
+971 43402934
","
DNATA
"
"
Opening Soon
","
Aesop
"
"
+971 553075559
","
Afnan
"
"
+971 43414151
","
Ajmal Perfume
"
"
+971 551338228
","
Anfas Al Khaleej
"
"
+971 509347865
","
Anfasic Dokhoon
"
"
+971 564173326
","
Antonio Dmetri
"
"
+971 544348085
","
Arabian Oud
"
"
+971 43405223
","
Areej
"
"
+971 564891019
","
Atyab Al Marshoud
"
"
+971 552984560
","
BALMESSENCE
"
"
+971 43411322
","
Al Jaber Optical
"
"
+971 552814280
","
ASIA
"
"
+971 562057136
","
Avanti
"
"
+971 43414090
","
Dubai Optical
"
"
+971 43410350
","
Grand Optics
"
"
+971 43410445
","
MAGRABi
"
"
+971 43414020
","
Occhiali
"
"
+971 48995500
","
Optifashion
"
"
+971 43850509
","
Optx2020
"
"
+971 43990681
","
Rivoli EyeZone
"
"
+971 43410814
","
Condotti / Leather Palace
"
"
+971 43850139
","
Jashanmal
"
"
+971 45149669
","
Rimowa
"
"
+971 43233710
","
Samsonite
"
"
+971 43474253
","
Sharief
"
"
+971 45645387
","
Tumi
"
"
+971 43850712
","
Calvin Klein (CK Underwear)
"
"
+971 43204560
","
Calzedonia
"
"
+971 43410708
","
K Lynn
"
"
+971 43410992
","
La Senza
"
"
+971 43414377
","
Nayomi
"
"
+971 43414214
","
Oysho
"
"
+971 43549089
","
Seafolly
"
