Description,Title
"HOME-DECOR - 
                                Home Furniture and Decor",@ Home
"HOME-DECOR - 
                                Furniture",Chattels & More
"HOME-DECOR - 
                                Modern off-shoot, CB2, and childrens’ home furnish..",Crate & Barrel
"HOME-DECOR - 
                                 photography cameras, camcorders, binoculars and t..",Grand Stores Home
"HOME-DECOR - 
                                Home Decor and Furniture",Home Centre
"HOME-DECOR - 
                                Home Furniture and Accessories",ID Design
"HOME-DECOR - 
                                Furniture",Indigo Living
"HOME-DECOR - 
                                dinnerware, cookware, bed and bath accessories, ho..",Jashanmal
"HOME-DECOR - 
                                Cleaning solutions, Home Furnishings and accessori..",Lakeland
HOME-DECOR -,Lalique
"HOME-DECOR - 
                                Home Furnishing",Marina Exotic Home Interiors
ELECTRONICS -,050telecom
"ELECTRONICS - 
                                Technology",Apple
"ELECTRONICS - 
                                Nokia, BlackBerry, Apple, Sony Ericsson, LG, Samsu..",Axiom
"ELECTRONICS - 
                                Built-in appliances, Major domestic appliances, Sm..",Better Life
"ELECTRONICS - 
                                mobile phones, notebooks, cameras, MP3, gaming, ho..",E-City
"ELECTRONICS - 
                                Electronics",Emax
"ELECTRONICS - 
                                Consumer electronics, digital products, home appli..",Eros Group
"ELECTRONICS - 
                                Mobile phones and Accessories",Fono
ELECTRONICS -,Grand Stores
"ELECTRONICS - 
                                JBL (Home Audio & Car Audio, Infinity (Home Audio ..",Harman House
"HOME-DECOR - 
                                contemporary cards, gifts and paper products",Paperchase
"HOME-DECOR - 
                                crystal, porcelain, silverware, jewelry - Luxury H..",Tanagra
"HOME-DECOR - 
                                cookware, bakeware and tableware",Tavola
"HOME-DECOR - 
                                furniture and accessories, Homeware",The One
"HOME-DECOR - 
                                Home accessories and clothing",The White Company
"HOME-DECOR - 
                                porcelain, stemware and cutlery, rounded off by ma..",Villeroy&boch
"HOME-DECOR - 
                                Furniture and Home decor",WEST ELM
"HOME-DECOR - 
                                A collection of household and designer homeware",Zara Home
ELECTRONICS -,HiPHONE Telecom
"ELECTRONICS - 
                                IT, Electronics, Home Appliances, Photographic Pro..",Jackys
"ELECTRONICS - 
                                Acer, Blackberry, Brother, Casio, Dometic, Du, Dys..",Jumbo Electronics
ELECTRONICS -,One Mobile
"ELECTRONICS - 
                                Electronics, Home Appliances",Plug Ins
"ELECTRONICS - 
                                Electronics",Samsung
"ELECTRONICS - 
                                Movies, Music, Books, Gifts, Stationery, Gadgets, ..",Virgin Megastore
"KIDS - 
                                Exclusive range of clothes for dolls, books, gifts..",American Girl
"KIDS - 
                                Kids Fashion",Armani Junior
"KIDS - 
                                books, music and movies",Borders
